レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
79495,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247071_7,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
79496,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247071_4,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
79497,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247071_2,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
79498,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247062_1,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
79499,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246381_1,CNF-120SN3,0.6,0,1,0.6,2026/1/5,2026/1/5,2026/1/6,,1S
79500,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247491_6,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/30,2026/1/30,2026/2/2,,1S
79501,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230321_6,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/30,2026/1/30,2026/2/2,,1S
79502,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230312_6,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/30,2026/1/30,2026/2/2,,1S
79503,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228761_5,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/30,2026/1/30,2026/2/2,,1S
79504,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209272_4,XYR-BWSS15K9C2F,6.5,0,1,6.5,2026/1/8,2026/1/8,2026/1/9,,1S
79505,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243571_1,NAN-S1C-G2E61,3.6,0,1,3.6,2026/1/5,2026/1/5,2026/1/6,,1S
79506,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242861_6,MG-N65SSW05NN,28.9,0,1,28.9,2026/1/5,2026/1/5,2026/1/6,,1S
79507,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V239422_4,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/5,2026/1/5,2026/1/6,,1S
79508,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237411_1,CE-K15W23GWE5,13.2,0,1,13.2,2026/1/5,2026/1/5,2026/1/6,,1S
79509,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228731_7,NAN-S1C-G2M11,3.6,0,1,3.6,2026/2/3,2026/2/3,2026/2/4,,1S
79510,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209081_3,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/8,2026/1/8,2026/1/9,,1S
79511,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207092_9,NTKPP-21120-MT12,5.2,0,1,5.2,2026/1/8,2026/1/8,2026/1/9,,1S
79512,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207021_9,NTKGH-R1812-MT12,27.7,0,1,27.7,2026/1/8,2026/1/8,2026/1/9,,1S
79513,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206991_3,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/8,2026/1/8,2026/1/9,,1S
79514,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206371_6,MVR-7M-W09LJB61,12.4,0,1,12.4,2026/1/8,2026/1/8,2026/1/9,,1S
79515,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246651_4,XY-BWSCOXX*,7,0,2,14,2026/1/26,2026/1/26,2026/1/27,,1S
79516,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243951_5,XYR-BWSS15K9L6F,6.5,0,1,6.5,2026/1/26,2026/1/26,2026/1/27,,1S
79517,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242691_5,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/26,2026/1/26,2026/1/27,,1S
79518,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230242_8,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
79519,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230242_5,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
79520,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230232_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
79521,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230232_1,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
79522,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209132_6,NANS-L1C-G2Q61,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
79523,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209091_8,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
79524,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209091_5,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
79525,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209091_1,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
79526,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207061_9,NTKPP-14120-MT12,3.5,0,1,3.5,2026/1/26,2026/1/26,2026/1/27,,1S
79527,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206891_8,MG-N65SBW09NN,23.7,0,1,23.7,2026/1/26,2026/1/26,2026/1/27,,1S
79528,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206331_8,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/26,2026/1/26,2026/1/27,,1S
79529,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V256511_1,Z1000X,0,0,1,0,2026/1/27,2026/1/27,2026/1/28,,1S
79530,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248811_1,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/15,2026/1/15,2026/1/16,,1S
79531,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248801_1,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/15,2026/1/15,2026/1/16,,1S
79532,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244741_2,XYR-BWSS15K9C2F,6.5,0,1,6.5,2026/1/15,2026/1/15,2026/1/16,,1S
79533,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243551_3,MGE-55E23W39N3,17.5,0,1,17.5,2026/1/15,2026/1/15,2026/1/16,,1S
79534,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240861_4,CE-175W23GWE5,15.7,0,1,15.7,2026/1/15,2026/1/15,2026/1/16,,1S
79535,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240851_5,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/15,2026/1/15,2026/1/16,,1S
79536,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230122_7,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
79537,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230101_6,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
79538,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230081_5,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
