レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
78019,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243612_2,NT-155W35,6.9,0,1,6.9,2026/1/5,2026/1/5,2026/1/6,,1S
78020,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242881_2,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/5,2026/1/5,2026/1/6,,1S
78021,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V239441_1,NAN-S1C-G21S1,3.6,0,1,3.6,2026/1/5,2026/1/5,2026/1/6,,1S
78022,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V239412_5,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/5,2026/1/5,2026/1/6,,1S
78023,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V239412_1,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/5,2026/1/5,2026/1/6,,1S
78024,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237462_3,MGE-N65E23W09NN,21.4,0,1,21.4,2026/1/5,2026/1/5,2026/1/6,,1S
78025,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237451_5,MG-N65LKW09NN,19.6,0,1,19.6,2026/1/5,2026/1/5,2026/1/6,,1S
78026,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228241_3,NTKGH-R1412-2*,21.6,0,2,43.2,2026/1/5,2026/1/5,2026/1/6,,1S
78027,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228241_1,NTKGH-R1412-2*,21.6,0,2,43.2,2026/1/5,2026/1/5,2026/1/6,,1S
78028,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207092_8,NTKPP-21120-MT12,5.2,0,1,5.2,2026/1/8,2026/1/8,2026/1/9,,1S
78029,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207032_5,NTKGH-R1812-MT12,27.7,0,1,27.7,2026/1/8,2026/1/8,2026/1/9,,1S
78030,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207021_8,NTKGH-R1812-MT12,27.7,0,1,27.7,2026/1/8,2026/1/8,2026/1/9,,1S
78031,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206991_6,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/8,2026/1/8,2026/1/9,,1S
78032,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206971_8,NTKGH-R1212-MT12,18.6,0,1,18.6,2026/1/8,2026/1/8,2026/1/9,,1S
78033,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206882_7,MG-N65LKW09NN,19.6,0,1,19.6,2026/1/8,2026/1/8,2026/1/9,,1S
78034,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206381_1,MVR-7M-W09LJB61,12.4,0,1,12.4,2026/1/8,2026/1/8,2026/1/9,,1S
78035,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206292_7,CE-53W05H1NB6,33.5,0,1,33.5,2026/1/8,2026/1/8,2026/1/9,,1S
78036,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252621_1,NANS-B1C-G2M11,5.6,0,1,5.6,2026/1/26,2026/1/26,2026/1/27,,1S
78037,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252541_6,NTKPP-18120-MV52,4.4,0,1,4.4,2026/1/26,2026/1/26,2026/1/27,,1S
78038,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V245421_5,XYS-BWSCS12K9C2F,5,0,1,5,2026/1/26,2026/1/26,2026/1/27,,1S
78039,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242691_1,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/26,2026/1/26,2026/1/27,,1S
78040,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230252_2,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
78041,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230232_8,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
78042,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230232_2,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
78043,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228742_5,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
78044,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209151_9,NANS-L1C-G2Q61,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
78045,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209091_6,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
78046,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209061_1,NANS-L1C-G29G1,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
78047,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207061_1,NTKPP-12120-MT12,3,0,1,3,2026/1/26,2026/1/26,2026/1/27,,1S
78048,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206891_2,MG-N65SBW05NN,23.7,0,1,23.7,2026/1/26,2026/1/26,2026/1/27,,1S
78049,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206851_3,MGE-N65CE23W05N3,21.4,0,1,21.4,2026/1/26,2026/1/26,2026/1/27,,1S
78050,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206331_4,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/26,2026/1/26,2026/1/27,,1S
78051,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255091_1,XYA-BWSCEC*,1.5,0,2,0.3,2026/1/9,2026/1/9,2026/1/9,,1S
78052,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249291_8,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/15,2026/1/15,2026/1/16,,1S
78053,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248811_7,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/15,2026/1/15,2026/1/16,,1S
78054,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247031_3,CE-K15W29CLJ06N,13.2,0,1,13.2,2026/1/15,2026/1/15,2026/1/16,,1S
78055,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244741_5,XYR-BWSS21K9C2F,9.1,0,1,9.1,2026/1/15,2026/1/15,2026/1/16,,1S
78056,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244741_3,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/15,2026/1/15,2026/1/16,,1S
78057,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244092_2,XYB-BWSSSE221*,12.8,0,2,25.6,2026/1/15,2026/1/15,2026/1/16,,1S
78058,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243551_4,MGE-55E23W39N3,17.5,0,1,17.5,2026/1/15,2026/1/15,2026/1/16,,1S
78059,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240861_2,CE-175W23GWE5,15.7,0,1,15.7,2026/1/15,2026/1/15,2026/1/16,,1S
78060,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V231771_9,GT-W200T37N*,3.7,0,2,7.4,2026/1/15,2026/1/15,2026/1/16,,1S
78061,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230112_8,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
78062,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228711_7,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/15,2026/1/15,2026/1/16,,1S
78063,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209401_8,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/15,2026/1/15,2026/1/16,,1S
78064,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209121_3,NANS-L1C-G2E61,7.4,0,1,7.4,2026/1/15,2026/1/15,2026/1/16,,1S
78065,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209121_1,NANS-L1C-G2E61,7.4,0,1,7.4,2026/1/15,2026/1/15,2026/1/16,,1S
78066,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249101_5,MGE-220D2LW05NN,10.9,0,1,10.9,2026/1/19,2026/1/19,2026/1/20,,1S
78067,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249041_3,MGW-220D2W05N3,4.4,0,1,4.4,2026/1/19,2026/1/19,2026/1/20,,1S
78068,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249031_8,MGF-220DLW05NN,1.7,0,1,1.7,2026/1/19,2026/1/19,2026/1/20,,1S
78069,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248741_4,MGE-7DDCW05N3,18.6,18.6,1,18.6,2026/1/19,2026/1/19,2026/1/20,,1S
78070,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247562_1,NAN-S1C-G2391,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
78071,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247021_2,XY-BWSCSN*,1,0,2,2,2026/1/19,2026/1/19,2026/1/20,,1S
78072,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244721_6,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/19,2026/1/19,2026/1/20,,1S
78073,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244711_6,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/19,2026/1/19,2026/1/20,,1S
78074,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242661_3,NANS-L1C-G29G1,7.4,0,1,7.4,2026/1/19,2026/1/19,2026/1/20,,1S
78075,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230151_8,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
78076,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230151_7,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
78077,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230151_4,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
78078,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V253951_1,NTKG-SA0707-MV52,5.1,0,1,5.1,2026/1/27,2026/1/27,2026/1/28,,1S
78079,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251971_5,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/27,2026/1/27,2026/1/28,,1S
78080,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250381_3,XYR-BWSS12K95HF,5.2,0,1,5.2,2026/1/27,2026/1/27,2026/1/28,,1S
78081,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250331_9,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/27,2026/1/27,2026/1/28,,1S
78082,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250331_4,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/27,2026/1/27,2026/1/28,,1S
78083,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250112_5,XYS-BWSSS12K912F,5.6,0,1,5.6,2026/1/27,2026/1/27,2026/1/28,,1S
78084,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250112_4,XYR-BWSS12K912F,5.2,0,1,5.2,2026/1/27,2026/1/27,2026/1/28,,1S
78085,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249651_6,XYS-BWSSS12K9C2F,5.6,0,1,5.6,2026/1/27,2026/1/27,2026/1/28,,1S
78086,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249621_6,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/27,2026/1/27,2026/1/28,,1S
78087,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249061_1,CN-W920T2,3.2,0,1,3.2,2026/1/27,2026/1/27,2026/1/28,,1S
78088,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248961_5,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/27,2026/1/27,2026/1/28,,1S
78089,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242691_8,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/27,2026/1/27,2026/1/28,,1S
78090,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206911_1,MG-N65SGW09NN,28.9,0,1,28.9,2026/1/27,2026/1/27,2026/1/28,,1S
78091,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V256421_2,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/29,2026/1/29,2026/1/30,,1S
78092,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252621_9,XY-BWSCOXXV312,7,0,1,7,2026/1/29,2026/1/29,2026/1/30,,1S
78093,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248951_6,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/29,2026/1/29,2026/1/30,,1S
78094,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248951_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/29,2026/1/29,2026/1/30,,1S
78095,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247541_7,CNS-120WW21V0MM,7.9,0,1,7.9,2026/1/29,2026/1/29,2026/1/30,,1S
78096,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247531_8,CNS-120WW21V0MM,7.9,0,1,7.9,2026/1/29,2026/1/29,2026/1/30,,1S
78097,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247502_8,XY-BWSCIXXN1EE,42.1,0,1,42.1,2026/1/29,2026/1/29,2026/1/30,,1S
78098,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247181_4,XYR-BWSS18F*,7.8,0,2,15.6,2026/1/29,2026/1/29,2026/1/30,,1S
78099,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206231_6,CE-175W25CLJB6NN,15.7,0,1,15.7,2026/1/29,2026/1/29,2026/1/30,,1S
78100,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209162_6,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/7,2026/1/7,2026/1/8,,1S
78101,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209102_6,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/7,2026/1/7,2026/1/8,,1S
78102,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209081_2,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/7,2026/1/7,2026/1/8,,1S
78103,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207041_5,NTKGH-R2112-MT12,32.2,0,1,32.2,2026/1/7,2026/1/7,2026/1/8,,1S
78104,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206951_5,MGT-55D1885W39NN,5.5,0,1,5.5,2026/1/7,2026/1/7,2026/1/8,,1S
78105,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206521_6,NANS-B1C-G2391,5.6,0,1,5.6,2026/1/7,2026/1/7,2026/1/8,,1S
78106,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206521_5,NANS-B1C-G2391,5.6,0,1,5.6,2026/1/7,2026/1/7,2026/1/8,,1S
78107,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206511_1,NAN-S1C-G2Q61,3.6,0,1,3.6,2026/1/7,2026/1/7,2026/1/8,,1S
78108,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V254852_2,XYW-BWSS18K9C2F,4,0,1,4,2026/1/22,2026/1/22,2026/1/23,,1S
78109,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252612_3,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/19,2026/1/19,2026/1/20,,1S
78110,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252091_5,XYB-BWSSS21MG8F,12.8,0,1,12.8,2026/1/19,2026/1/19,2026/1/20,,1S
78111,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250761_1,CE-13W25D,33.5,0,1,33.5,2026/1/19,2026/1/19,2026/1/20,,1S
78112,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250361_7,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/19,2026/1/19,2026/1/20,,1S
78113,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249231_2,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/19,2026/1/19,2026/1/20,,1S
78114,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246281_6,XYS-BWSSS21K9C2F,9.7,0,1,9.7,2026/1/9,2026/1/9,2026/1/13,,1S
78115,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246261_5,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/9,2026/1/9,2026/1/13,,1S
78116,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V245411_1,NANS-L1C-G21S1,7.4,0,1,7.4,2026/1/9,2026/1/9,2026/1/13,,1S
78117,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V231731_6,W40T-KW4012G-WF51,9.2,0,1,9.2,2026/1/9,2026/1/9,2026/1/13,,1S
78118,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249011_3,XYS-BWSSS18K9C2F,8.3,0,1,8.3,2026/1/23,2026/1/23,2026/1/26,,1S
78119,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244661_1,XYS-BWSSS18K912F,8.3,0,1,8.3,2026/1/23,2026/1/23,2026/1/26,,1S
78120,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244001_5,XYS-BWSSS18F*,8.3,0,2,16.6,2026/1/23,2026/1/23,2026/1/26,,1S
78121,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242842_7,MVR-7M-W03LJB61,12.4,0,1,12.4,2026/1/23,2026/1/23,2026/1/26,,1S
78122,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241511_8,XYS-BWSSS18VYOUF,8.3,0,1,8.3,2026/1/23,2026/1/23,2026/1/26,,1S
78123,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241511_6,XYS-BWSSS18VYOUF,8.3,0,1,8.3,2026/1/23,2026/1/23,2026/1/26,,1S
78124,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230052_8,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/9,2026/1/9,2026/1/13,,1S
78125,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230052_5,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/9,2026/1/9,2026/1/13,,1S
78126,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230052_1,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/9,2026/1/9,2026/1/13,,1S
78127,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230042_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/9,2026/1/9,2026/1/13,,1S
78128,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230031_8,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/9,2026/1/9,2026/1/13,,1S
78129,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228711_5,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/9,2026/1/9,2026/1/13,,1S
78130,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209471_7,XYS-BWSSS21K9C2F,9.7,0,1,9.7,2026/1/9,2026/1/9,2026/1/13,,1S
78131,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V258881_3,NT-155W31,6.9,0,1,6.9,2026/2/2,2026/2/2,2026/2/3,,1S
78132,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V254941_1,W40T-BW3612G-W091,8.2,0,1,8.2,2026/1/28,2026/1/28,2026/1/29,,1S
78133,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250341_5,XYB-BWSCS18MN1F,10.2,0,1,10.2,2026/1/28,2026/1/28,2026/1/29,,1S
78134,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246171_1,XYR-BWSS12K912F,5.2,0,1,5.2,2026/1/28,2026/1/28,2026/1/29,,1S
78135,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246161_3,XYR-BWSS15K9L6F,6.5,0,1,6.5,2026/1/28,2026/1/28,2026/1/29,,1S
78136,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V256352_2,CNS-120BCV0MM,1,0,4,4,2026/2/2,2026/2/2,2026/2/3,,1S
78137,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V256352_1,CNS-120BCV0ML,1,0,2,2,2026/2/2,2026/2/2,2026/2/3,,1S
